PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,SOC_CODE,TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,H_MEAN,A_MEAN,H_MEDIAN,A_MEDIAN
OH,0,Cross-industry,cross-industry,1235,00-0000.00,All Occupations,total,5201030,0,1000,1,25.56,53170,19.08,39680
OH,0,Cross-industry,cross-industry,1235,11-0000.00,Management Occupations,major,278880,0.6,53.619,0.85,53.84,111980,47.53,98870
OH,0,Cross-industry,cross-industry,1235,11-1011.00,Chief Executives,detailed,4590,3.8,0.883,0.62,103.36,214990,86.39,179680
OH,0,Cross-industry,cross-industry,1235,11-1021.00,General and Operations Managers,detailed,89630,1.2,17.232,0.81,52.39,108980,45.6,94840
OH,0,Cross-industry,cross-industry,1235,11-1031.00,Legislators,detailed,3300,6.8,0.635,2.01,.,55220,.,36940
OH,0,Cross-industry,cross-industry,1235,11-2011.00,Advertising and Promotions Managers,detailed,230,22.5,0.044,0.27,59.33,123400,48.02,99880
OH,0,Cross-industry,cross-industry,1235,11-2021.00,Marketing Managers,detailed,5980,2.8,1.15,0.58,67.98,141400,61.47,127860
OH,0,Cross-industry,cross-industry,1235,11-2022.00,Sales Managers,detailed,14460,6.2,2.78,0.86,68.79,143090,61.17,127240
OH,0,Cross-industry,cross-industry,1235,11-2032.00,Public Relations Managers,detailed,1020,6,0.196,0.46,59.89,124560,57.4,119400
OH,0,Cross-industry,cross-industry,1235,11-2033.00,Fundraising Managers,detailed,670,5.8,0.128,0.78,52.76,109730,47.09,97950
OH,0,Cross-industry,cross-industry,1235,11-3012.00,Administrative Services Managers,detailed,9120,3.4,1.753,1.1,46.07,95830,38.59,80270
OH,0,Cross-industry,cross-industry,1235,11-3013.00,Facilities Managers,detailed,3980,5.7,0.764,1.06,46.04,95750,45.12,93840
OH,0,Cross-industry,cross-industry,1235,11-3021.00,Computer and Information Systems Managers,detailed,12880,3.1,2.476,0.72,68.57,142630,62.43,129850
OH,0,Cross-industry,cross-industry,1235,11-3031.00,Financial Managers,detailed,21760,2.2,4.183,0.87,66.58,138480,60.79,126440
OH,0,Cross-industry,cross-industry,1235,11-3051.00,Industrial Production Managers,detailed,11400,2,2.193,1.61,53.98,112270,48.4,100670
OH,0,Cross-industry,cross-industry,1235,11-3061.00,Purchasing Managers,detailed,2080,3.4,0.4,0.81,60.8,126470,58.5,121680
OH,0,Cross-industry,cross-industry,1235,11-3071.00,"Transportation, Storage, and Distribution Managers",detailed,6190,9.2,1.191,1.16,48.43,100740,44.54,92640
OH,0,Cross-industry,cross-industry,1235,11-3111.00,Compensation and Benefits Managers,detailed,520,14.3,0.099,0.91,65.65,136560,61.38,127680
OH,0,Cross-industry,cross-industry,1235,11-3121.00,Human Resources Managers,detailed,4420,3.7,0.85,0.72,63.35,131770,59.27,123270
OH,0,Cross-industry,cross-industry,1235,11-3131.00,Training and Development Managers,detailed,830,7.5,0.16,0.63,57.16,118880,55.57,115580
OH,0,Cross-industry,cross-industry,1235,11-9021.00,Construction Managers,detailed,7640,5.3,1.469,0.73,49.76,103510,47.08,97930
OH,0,Cross-industry,cross-industry,1235,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",detailed,2510,7.2,0.483,1.21,23.6,49090,22.31,46400
OH,0,Cross-industry,cross-industry,1235,11-9032.00,"Education Administrators, Kindergarten through Secondary",detailed,9830,2.9,1.89,0.97,.,91700,.,97320
OH,0,Cross-industry,cross-industry,1235,11-9033.00,"Education Administrators, Postsecondary",detailed,4260,1.1,0.819,0.74,51.7,107530,45.68,95010
OH,0,Cross-industry,cross-industry,1235,11-9039.00,"Education Administrators, All Other",detailed,1120,7.3,0.215,0.61,37.71,78450,36.22,75340
OH,0,Cross-industry,cross-industry,1235,11-9041.00,Architectural and Engineering Managers,detailed,5830,4.1,1.12,0.84,68.73,142950,63.11,131260
OH,0,Cross-industry,cross-industry,1235,11-9051.00,Food Service Managers,detailed,9040,7.7,1.738,1.16,31.37,65240,27.3,56780
OH,0,Cross-industry,cross-industry,1235,11-9072.00,"Entertainment and Recreation Managers, Except Gambling",detailed,470,15.2,0.09,0.71,32.49,67590,29.38,61100
OH,0,Cross-industry,cross-industry,1235,11-9081.00,Lodging Managers,detailed,1140,12.9,0.219,0.86,28.92,60150,28.9,60110
